ELEV	LAT	LON
abdulla-akhundzada-karez	31.5382	65.0561
abdulladzhan-kalay	32.707	66.7161
`abdullah	32.6577	68.7872
`abdullah akhundzadah karez	31.5382	65.0561
`abdullah jan	34.9525	61.6868
abdullahjan kalay	31.1092	64.1801
`abdullahjan kalay	32.707	66.7161
`abdullah jan kelay	31.1092	64.1801
abdullah jan kili	33.3797	70.0294
`abdullah kala	32.8739	67.447
`abdullah kalay	31.0899	64.1903
`abdullah karez	32.3997	61.9578
`abdullah kelay	31.0899	64.1903
`abdullahkhan	34.7898	63.5026
abdullahkhan	31.1093	61.8654
abdullahkhan	31.1636	61.8419
`abdullahkhan	31.5092	65.3019
abdullahkhan	32.8644	68.5815
`abdullah khan	32.8471	66.024
`abdullahkhan kala	32.8644	68.5815
`abdullahkhan kalay	31.5701	66.3717
`abdullah khan kalay	31.7169	67.3799
`abdullahkhan kalay	32.2225	67.2914
`abdullah khan kelay	31.5701	66.3717
`abdullahkhel	35.2473	69.6156
`abdullah kor	31.8432	64.6045
abdullakala	32.8739	67.447
abdullakalay	32.0568	64.8233
abdullakhan	34.7898	63.5026
abdullakhankalay	31.5701	66.3717
abdullakhan-kalay	31.683	66.8944
abdullakheyl'	35.2473	69.6156
abdullakor	31.8432	64.6045
`abdulmajid bandah	34.6396	70.3895
`abdulmajidkhan	31.1568	62.032
`abdul malik	35.9293	68.0104
abdul masek	32.3755	64.9993
abdulmohayedin kalay	33.7753	68.5108
`abdul nazar beg	37.4744	69.6957
abdulqader kalay	32.2078	67.2667
abdul qayum kalay	32.4483	66.8796
`abdulqoduskhan kalay	31.4249	65.7114
abdul rahaman	31.3206	65.9611
`abdul rahim	33.2911	68.4167
`abdul rahimzai	34.4464	69.8997
abdul rahman	31.3206	65.9611
`abdul rahman kalachah	32.0663	66.8373
`abdul rahman kor	32.2094	68.4594
abdul rakhman kili	30.9583	66.4317
`abdul rashid	33.3778	68.4969
`abdul razaq	32.6438	66.2182
`abdul salam	32.775	67.0339
abdul samad kalay	31.8018	65.7702
`abd ul samad khan	31.2197	61.7806
`abdulsamadkhan	31.2314	62.174
abdul-samed-kalay	31.8018	65.7702
abdul'vakhab-kalay	32.6687	67.7547
abdul'vakhid	32.1045	65.8647
abdul'vakhid-kalay	31.6889	64.3038
abdul'val'	33.3242	68.4947
'abdul wahab kalay	32.6687	67.7547
`abdul wahed	32.1045	65.8647
`abdul wahed kalay	31.0912	64.2034
abdulwahed kalay	31.6889	64.3038
abdulwahedkhan	31.1719	61.8027
`abdul wahid	32.1045	65.8647
`abdul wahid kelay	31.0912	64.2034
`abd ul wahid khan	31.1719	61.8027
`abdulwal	33.3242	68.4947
abdulzaher	31.0672	61.8633
abdurakhim-kalay	32.7005	66.7149
abdurashid-chambar	32.4044	67.5286
`abdurrahim	33.2911	68.4167
`abdur rahim	32.0726	65.8734
`abdur rahim kalay	31.5624	66.3357
abdur rahim kalay	32.7005	66.7149
`abd ur rahim kelay	31.5624	66.3357
`abdur rahim kelay	32.7005	66.7149
abdurrahimkhel	33.9112	68.4411
`abd ur rahimzai	34.5087	70.2313
`abd ur rahimzi	34.308	69.1688
abdurrahimzi	34.4464	69.8997
`abdurrahimzi	34.5087	70.2313
`abdurrahman	34.2406	69.2572
abdurrahman	31.1336	61.8222
abdur rahman	33.7496	69.7981
abdur rahman cambar	32.6878	68.1182
`abd ur rahman-e kargud	31.0296	61.844
`abdurrahmani	34.2265	70.3963
`abd ur rahman kala	34.3989	68.9894
`abdurrahman kalaca	32.0663	66.8373
`abdur rahman karez	32.1778	64.7253
abdurrahman kargud	31.0296	61.844
`abdurrahmankhan	31.588	65.4827
`abdurrahmankhan kala	34.3989	68.9894
abdurrahmankhel	32.0772	67.7961
`abdurrahmankhel	35.137	69.0553
abdurrahmankhel karez	32.0866	67.7965
`abdur rahman kor	32.3516	66.6658
abdurrahman kor	32.2094	68.4594
`abdurrahman ya`qub	30.9353	61.8706
`abd ur rahmanzai	31.332	66.1684
abdurrakhim	33.2911	68.4167
abdurrakhim-kalay	31.5624	66.3357
abdurrakhimkheyl'	33.9112	68.4411
abdurrakhimzi	34.4464	69.8997
abdurrakhman	33.9052	63.3229
abdurrakhman-chambar	32.6878	68.1182
abdurrakhmani	34.2265	70.3963
abdurrakhman-karez	32.1778	64.7253
abdurrakhmankhan	31.588	65.4827
abdurrakhmankhan-kala	34.3989	68.9894
abdurrakhmankheyl'	32.0772	67.7961
abdurrakhmankheyl'-karez	32.0866	67.7965
abdurrakhmankor	32.3516	66.6658
abdurrakhmanzay	31.332	66.1684
abdurrakman-kalacha	32.0663	66.8373
abdurrashid	33.3778	68.4969
abdurrashid karez	31.8021	64.4997
`abdurrasid	33.3778	68.4969
`abdurrasid karez	31.8021	64.4997
abdurrazak	31.514	65.3772
`abdurrazaq	31.514	65.3772
`abdurrazaq	32.6438	66.2182
abd'yan	34.4528	70.4733
abdzhalil'	34.3598	62.0351
abdzhoshi-bala	33.8486	68.8311
abdzhoshi-pain	33.8511	68.8725
ab-e ahmad	35.7707	66.8874
ab-e `aref	35.1198	61.4851
ab-e barik	34.6519	63.7828
ab-e barik-e ghalmani	34.9165	62.7136
ab-e barik-e qowdi	34.9029	62.7201
ab-e baydak	33.4823	64.3106
ab-e darah	36.3982	67.2339
ab-e deraz	35.3962	61.3586
abedkhel	35.8969	69.5135
ab-e faizab	35.107	61.4856
abegak	33.9072	65.8104
ab-e garmak	35.0156	63.1421
abeh	32.679	62.2504
ab-e kamari	35.088	63.0678
ab-e khanah	36.4341	67.1441
abe khel	35.0881	69.5922
abelan	31.5609	64.4178
ab-e safayd	34.9663	61.6083
ab-e shayr ahmad	36.8323	70.3593
ab-e shor	36.9414	69.3181
abestan	33.326	61.9504
ab-e tal	36.4827	67.2207
abeykheyl	35.0881	69.5922
ab fayzab	35.107	61.4856
ab feros	37.1462	69.1103
ab gach	36.9957	72.7017
ab gaj	36.9847	72.7396
abganda	37.4959	70.2452
ab gard	38.0011	70.4762
abgardu	34.5381	67.3364
abgarmak	34.6621	63.6003
ab garmi	35.4369	61.3857
ab gerd	35.018	68.9441
ab gozar	35.2928	61.4716
ab-i-aref	35.1198	61.4851
abi-barik	34.6519	63.7828
ab-i-barik	34.7398	62.4224
ab-i-barik-i-ghalmani	34.9165	62.7136
ab-i-barik-i-qudi	34.9029	62.7201
abi dara	36.3982	67.2339
`abid khel	35.8969	69.5135
ab-i-faydzab	35.107	61.4856
abigak	33.9072	65.8104
ab-i-garmak	35.0156	63.1421
ab-i- garmak	35.7291	63.8657
ab-i-garmak	35.7372	63.8288
abi jan	31.5317	64.3573
ab-i-kamari	35.088	63.0678
abi khana	36.4341	67.1441
abi khel	35.0881	69.5922
ab-i-safed	34.9663	61.6083
ab-i-ser ahmad	36.8323	70.3593
abi-shor	36.9414	69.3181
abistan	33.326	61.9504
abistan-e bala	33.3449	61.9401
abistan-e pa'in	33.3408	61.9526
ab-i-tal	36.4827	67.2207
ab jalil	34.3598	62.0351
abjose bala	33.8486	68.8311
